287	12	500	742	24	-6	0	50	50	NA
288	8	500	0	6	-2859	0	50	0	800
289	8	1988	0	-24	-2859	0	50	0	750
290	8	1988	0	24	-2859	0	50	0	750
291	8	742	0	24	-2859	0	50	0	700
292	8	500	0	6	-2859	0	50	0	800
293	12	500	742	24	-6	0	50	50	700
294	8	742	0	6	-2859	0	50	0	800
295	8	742	0	-6	-2859	1	50	0	800
296	8	500	0	6	-2859	0	50	0	700
297	12	500	742	-24	6	0	50	50	NA
298	8	500	0	24	-2859	0	50	0	750
299	8	742	0	-6	-2859	0	50	0	NA
300	12	1988	742	-24	6	0	50	50	700
301	12	500	742	24	-6	0	50	50	NA
302	8	1988	0	6	-2859	0	50	0	NA
303	8	742	0	-24	-2859	0	50	0	NA
304	8	1988	0	-24	-2859	0	50	0	NA
305	8	500	0	-24	-2859	0	50	0	NA
306	12	742	500	-24	6	0	50	50	NA
307	12	1988	742	24	-6	0	50	50	NA
308	8	500	0	-24	-2859	0	50	0	NA
309	8	742	0	-24	-2859	0	50	0	NA
310	12	1988	742	-24	6	0	50	50	NA
311	12	500	742	-24	6	0	50	50	NA
312	12	1988	742	-24	6	0	50	50	NA
313	12	500	742	24	-6	0	50	50	NA
314	12	1988	742	24	-6	0	50	50	NA
315	12	1988	742	24	-6	0	50	50	NA
316	8	1988	0	-24	-2859	0	50	0	NA
317	8	500	0	6	-2859	0	50	0	NA
318	12	742	500	-24	6	0	50	50	NA
319	12	742	500	-24	6	0	50	50	NA
320	12	500	742	-24	6	0	50	50	NA
321	12	1988	742	-24	6	0	50	50	NA
322	8	500	0	24	-2859	0	50	0	NA
323	12	742	1988	24	-6	0	50	50	NA
324	12	742	1988	24	-6	0	50	50	NA
325	8	742	0	24	-2859	0	50	0	NA
326	12	742	1988	24	-6	0	50	50	NA
327	8	1988	0	-24	-2859	0	50	0	NA
328	8	742	0	-24	-2859	0	50	0	NA
329	8	1988	0	-6	-2859	0	50	0	NA
330	12	742	1988	24	-6	0	50	50	NA
331	12	1988	742	24	-6	0	50	50	NA
332	12	742	1988	24	-6	0	50	50	NA
333	8	500	0	6	-2859	0	50	0	NA
334	12	1988	742	24	-6	0	50	50	NA
335	12	742	1988	24	-6	0	50	50	NA
336	12	742	500	-24	6	0	50	50	NA
337	12	742	1988	-24	6	0	50	50	NA
338	8	500	0	24	-2859	0	50	0	NA
339	12	742	1988	-24	6	0	50	50	NA
340	12	742	1988	-24	6	0	50	50	NA
341	12	742	500	-24	6	0	50	50	NA
342	12	500	742	24	-6	0	50	50	NA
343	8	1988	0	-6	-2859	0	50	0	NA
344	8	742	0	24	-2859	0	50	0	NA
345	8	1988	0	24	-2859	0	50	0	NA
346	8	1988	0	-6	-2859	0	50	0	NA
347	12	1988	742	-24	6	0	50	50	NA
348	12	500	742	24	-6	0	50	50	NA
349	12	742	500	24	-6	0	50	50	NA
350	12	742	1988	24	-6	0	50	50	NA
351	12	1988	742	24	-6	0	50	50	NA
352	8	500	0	-6	-2859	0	50	0	NA
353	12	742	500	-24	6	0	50	50	700
354	12	500	742	-24	6	0	50	50	NA
355	12	1988	742	24	-6	0	50	50	NA
356	8	742	0	-24	-2859	0	50	0	NA
357	12	500	742	-24	6	0	50	50	NA
358	8	1988	0	24	-2859	0	50	0	NA
359	12	742	1988	-24	6	0	50	50	NA
360	8	742	0	-24	-2859	0	50	0	NA
361	12	500	742	-24	6	0	50	50	700
362	8	1988	0	24	-2859	0	50	0	NA
363	8	500	0	-24	-2859	0	50	0	NA
364	8	742	0	24	-2859	0	50	0	750
365	8	500	0	24	-2859	0	50	0	700
366	12	500	742	-24	6	0	50	50	800
367	8	742	0	6	-2859	0	50	0	NA
368	12	1988	742	24	-6	0	50	50	NA
369	12	1988	742	24	-6	0	50	50	NA
370	12	742	500	24	-6	0	50	50	NA
371	12	500	742	-24	6	0	50	50	NA
372	12	742	1988	-24	6	0	50	50	NA
373	12	1988	742	-24	6	0	50	50	NA
374	12	742	1988	24	-6	0	50	50	NA
375	8	742	0	24	-2859	0	50	0	NA
376	12	1988	742	24	-6	0	50	50	750
377	12	1988	742	24	-6	0	50	50	NA
378	12	1988	742	-24	6	0	50	50	NA
379	12	742	1988	-24	6	0	50	50	NA
380	8	500	0	-6	-2859	0	50	0	NA
381	12	500	742	-24	6	0	50	50	800
382	12	500	742	-24	6	0	50	50	NA
383	8	1988	0	24	-2859	0	50	0	NA
384	12	742	500	24	-6	0	50	50	NA
385	12	742	500	24	-6	0	50	50	NA
386	8	500	0	-24	-2859	0	50	0	NA
387	12	1988	742	-24	6	0	50	50	NA
388	12	742	1988	-24	6	0	50	50	NA
389	12	500	742	-24	6	0	50	50	NA
390	8	500	0	6	-2859	0	50	0	NA
391	12	742	500	-24	6	0	50	50	800
392	8	1988	0	24	-2859	0	50	0	NA
393	8	1988	0	-24	-2859	0	50	0	NA
394	8	742	0	-24	-2859	0	50	0	NA
395	8	742	0	-24	-2859	0	50	0	NA
396	12	742	1988	-24	6	0	50	50	800
397	12	500	742	24	-6	0	50	50	800
398	8	1988	0	-24	-2859	0	50	0	NA
399	12	500	742	24	-6	0	50	50	NA
400	12	742	500	24	-6	0	50	50	NA
401	8	1988	0	-6	-2859	1	50	0	800
402	8	742	0	-6	-2859	0	50	0	NA
403	8	1988	0	-24	-2859	1	50	0	800
404	12	500	742	-24	6	0	50	50	NA
405	12	742	500	-24	6	0	50	50	NA
406	8	1988	0	24	-2859	0	50	0	NA
407	12	1988	742	-24	6	0	50	50	NA
408	8	742	0	6	-2859	0	50	0	NA
409	12	500	742	24	-6	0	50	50	NA
410	12	1988	742	24	-6	0	50	50	NA
411	8	500	0	-6	-2859	0	50	0	NA
412	12	742	1988	24	-6	0	50	50	NA
413	8	742	0	-6	-2859	0	50	0	NA
414	12	1988	742	24	-6	0	50	50	NA
415	12	500	742	24	-6	0	50	50	NA
416	12	500	742	24	-6	0	50	50	NA
417	12	1988	742	-24	6	0	50	50	NA
418	12	1988	742	-24	6	0	50	50	NA
419	12	742	1988	-24	6	0	50	50	NA
420	8	500	0	-24	-2859	0	50	0	NA
